1614960000,1,10
1614960060,2,15
1614960120,3,20
1614960180,1,12
1614960240,2,18
1614960300,3,22
1614960360,1,14
1614960420,2,20
1614960480,3,25
1614960540,1,16
1614960600,2,22
1614960660,3,28
1614970000,1,8
1614970060,2,14
1614970120,3,18
1614970180,1,10
1614970240,2,20
1614970300,3,24
1614970360,1,12
1614970420,2,18
1614970480,3,26
1614970540,1,14
1614970600,2,24
1614970660,3,30
1614980000,1,6
1614980060,2,12
1614980120,3,16
1614980180,1,8
1614980240,2,16
1614980300,3,20
1614980360,1,10
1614980420,2,14
1614980480,3,22
1614980540,1,12
1614980600,2,18
1614980660,3,24
1614990000,1,9
1614990060,2,13
1614990120,3,17
1614990180,1,11
1614990240,2,15
1614990300,3,19
1614990360,1,13
1614990420,2,17
1614990480,3,21
1614990540,1,15
1614990600,2,21
1614990660,3,27
1615000000,1,10
1615000060,2,14
1615000120,3,18
1615000180,1,12
1615000240,2,16
1615000300,3,20
1615000360,1,14
1615000420,2,18
1615000480,3,22
1615000540,1,16
1615000600,2,20
1615000660,3,26
1615010000,1,11
1615010060,2,15
1615010120,3,19
1615010180,1,13
1615010240,2,17
1615010300,3,21
1615010360,1,15
1615010420,2,19
1615010480,3,23
1615010540,1,17
1615010600,2,23
1615010660,3,29
1615020000,1,12
1615020060,2,16
1615020120,3,20
1615020180,1,14
1615020240,2,18
1615020300,3,22
1615020360,1,16
1615020420,2,20
1615020480,3,24
1615020540,1,18
1615020600,2,24
1615020660,3,30
1615030000,1,13
1615030060,2,17
1615030120,3,21
1615030180,1,15
1615030240,2,19
1615030300,3,23
1615030360,1,17
1615030420,2,21
1615030480,3,25
1615030540,1,19
1615030600,2,25
1615030660,3,31
1615040000,1,14
1615040060,2,18
1615040120,3,22
1615040180,1,16
1615040240,2,20
1615040300,3,24
1615040360,1,18
1615040420,2,22
1615040480,3,26
1615040540,1,20
1615040600,2,26
1615040660,3,32
1615050000,1,15
1615050060,2,19
1615050120,3,23
1615050180,1,17
1615050240,2,21
1615050300,3,25
1615050360,1,19
1615050420,2,23
1615050480,3,27
1615050540,1,21
1615050600,2,27
1615050660,3,33
1615060000,1,16
1615060060,2,20
1615060120,3,24
1615060180,1,18
1615060240,2,22
1615060300,3,26
1615060360,1,20
1615060420,2,24
1615060480,3,28
1615060540,1,22
1615060600,2,28
1615060660,3,34
